accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	description	dev_stage	ecotype	environmental_sample	first_public	germline	identified_by	isolate	isolation_source	location	mating_type	serotype	serovar	sex	submitted_sex	specimen_voucher	strain	sub_species	sub_strain	tissue_lib	tissue_type	variety	tax_id	scientific_name	sample_alias	checklist	center_name	depth	elevation	altitude	environment_biome	environment_feature	environment_material	temperature	salinity	sampling_campaign	sampling_site	sampling_platform	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	host_gravidity	host_phenotype	host_genotype	host_growth_conditions	environmental_package	investigation_type	experimental_factor	sample_collection	sequencing_method	target_gene	ph	broker_name
SAMEA1011378	ERS046602									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	BuFa_9_10-sc-2011-08-17T10:27:58Z-1258964		Wellcome Sanger Institute																															
SAMEA1011389	ERS006973									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2787						487	Neisseria meningitidis	2787-sc-2010-05-07-9786		Wellcome Sanger Institute																															
SAMEA1011392	ERS006972									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2786						487	Neisseria meningitidis	2786-sc-2010-05-07-9785		Wellcome Sanger Institute																															
SAMEA1011398	ERS046616									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	71_87-sc-2011-08-17T10:28:06Z-1258978		Wellcome Sanger Institute																															
SAMEA1011399	ERS046601									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	Tch_46_10-sc-2011-08-17T10:27:57Z-1258963		Wellcome Sanger Institute																															
SAMEA1011408	ERS046603									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	58-sc-2011-08-17T10:27:58Z-1258965		Wellcome Sanger Institute																															
SAMEA1011412	ERS046617									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	84_89-sc-2011-08-17T10:28:07Z-1258979		Wellcome Sanger Institute																															
SAMEA1011416	ERS006971									This sample has been submitted by Wellcome Sanger Institute on 2010-03-17; Neisseria meningitidis			false	2011-09-19	false											2785						487	Neisseria meningitidis	2785-sc-2010-05-07-9784		Wellcome Sanger Institute																															
SAMEA1011430	ERS046619									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	93_N213-sc-2011-08-17T10:28:08Z-1258981		Wellcome Sanger Institute																															
SAMEA1011434	ERS046618									This sample has been submitted by Wellcome Sanger Institute on 2011-08-17; Neisseria meningitidis			false	2012-01-05	false																	487	Neisseria meningitidis	92_30-sc-2011-08-17T10:28:07Z-1258980		Wellcome Sanger Institute																															
